A:char(25)	B:char(25)	C:int	D:int
Kansas	District_of_Columbia	9	7
New_Hampshire	Colorado	8	3
Nevada	North_Dakota	6	8
Business	Delaware	6	7
Connecticut	Colorado	7	8
Arkansas	Colorado	4	2
Delaware	Arkansas	9	0
Colorado	Kentucky	8	5
Vermont	Idaho	8	6
Colorado	West_Virginia	3	9
Kansas	Indiana	1	7
Arkansas	Oklahoma	8	8
West_Virginia	Nevada	3	1
Kansas	South_Dakota	6	1
Colorado	Idaho	7	3
Montana	Arkansas	6	7
New_Hampshire	Arkansas	1	7
New_Hampshire	Vermont	5	9
Oklahoma	Montana	8	0
Kentucky	West_Virginia	0	4
District_of_Columbia	Montana	9	6
New_Hampshire	West_Virginia	6	3
Kansas	Nevada	0	4
Arkansas	West_Virginia	0	1
Indiana	Delaware	5	7
Montana	District_of_Columbia	1	1
Indiana	New_Hampshire	6	7
South_Dakota	Montana	8	5
Singapore	Nevada	6	4
Kansas	Colorado	8	2
Indiana	North_Dakota	0	3
Singapore	Puerto_Rico	9	3
Delaware	Indiana	8	0
Delaware	South_Dakota	5	3
Vermont	Connecticut	8	3
Oklahoma	Puerto_Rico	7	6
Montana	Delaware	9	8
Kentucky	Delaware	9	3
Oklahoma	New_Hampshire	5	6
Oklahoma	Colorado	1	6
Kansas	District_of_Columbia	4	6
Puerto_Rico	Kentucky	8	7
Business	Nevada	3	1
North_Dakota	South_Dakota	1	7
North_Dakota	Nevada	6	9
Singapore	Indiana	7	0
Vermont	Oklahoma	4	2
Vermont	Vermont	2	1
Colorado	Colorado	7	7
Montana	Delaware	7	2
Kansas	Puerto_Rico	9	5
District_of_Columbia	Indiana	1	0
Singapore	Colorado	1	8
South_Dakota	Kentucky	5	6
Vermont	Puerto_Rico	7	0
Singapore	Montana	6	5
Kentucky	Colorado	3	0
Connecticut	Kansas	7	7
Indiana	Kentucky	6	0
Puerto_Rico	Montana	2	7
Kentucky	Puerto_Rico	8	3
Indiana	Business	6	9
Puerto_Rico	District_of_Columbia	7	5
Oklahoma	Vermont	4	4
Oklahoma	Singapore	2	1
Arkansas	Delaware	6	5
Arkansas	North_Dakota	4	9
Indiana	Vermont	1	0
South_Dakota	Kansas	3	6
District_of_Columbia	District_of_Columbia	4	3
New_Hampshire	District_of_Columbia	1	9
North_Dakota	District_of_Columbia	7	9
Connecticut	Oklahoma	7	7
South_Dakota	New_Hampshire	6	9
Connecticut	Idaho	2	7
District_of_Columbia	Singapore	4	6
Puerto_Rico	Delaware	7	8
Idaho	Singapore	4	6
Arkansas	Business	3	2
District_of_Columbia	Kansas	7	5
Singapore	Oklahoma	0	1
Singapore	Colorado	2	1
Connecticut	Indiana	2	9
Vermont	Puerto_Rico	2	7
Kansas	Vermont	6	7
North_Dakota	Nevada	1	4
Kansas	Indiana	9	6
Kansas	Idaho	7	2
Oklahoma	Delaware	7	6
New_Hampshire	West_Virginia	8	6
Oklahoma	Puerto_Rico	9	9
Kansas	Montana	8	1
Business	Puerto_Rico	7	4
Idaho	Delaware	7	0
Singapore	Kansas	0	3
Connecticut	Oklahoma	3	4
Nevada	North_Dakota	4	2
Nevada	Singapore	0	0
Kansas	Kentucky	9	8
Idaho	Nevada	5	8
South_Dakota	District_of_Columbia	0	7
Nevada	Puerto_Rico	6	7
Vermont	North_Dakota	4	3
Delaware	District_of_Columbia	4	8
District_of_Columbia	South_Dakota	4	2
Arkansas	West_Virginia	1	6
Colorado	Business	8	1
Arkansas	Connecticut	8	8
Indiana	Arkansas	1	0
District_of_Columbia	Vermont	2	7
Vermont	Oklahoma	0	0
North_Dakota	Indiana	4	2
Kentucky	District_of_Columbia	2	2
Vermont	Colorado	0	0
Vermont	Vermont	4	7
Puerto_Rico	Kansas	6	1
Kansas	Puerto_Rico	1	2
New_Hampshire	West_Virginia	0	7
Kansas	Kentucky	6	1
Indiana	Delaware	4	1
Business	Colorado	8	8
Indiana	Idaho	3	9
Oklahoma	Oklahoma	9	8
District_of_Columbia	Kentucky	5	0
Nevada	District_of_Columbia	3	9
Puerto_Rico	Delaware	0	6
Oklahoma	Indiana	6	5
South_Dakota	Colorado	8	1
New_Hampshire	Colorado	6	0
Kansas	Indiana	8	3
Delaware	Delaware	9	9
Vermont	Nevada	4	9
Business	South_Dakota	3	2
Nevada	Arkansas	3	6
Montana	Kansas	8	6
Oklahoma	Delaware	9	7
Oklahoma	District_of_Columbia	9	8
Oklahoma	Vermont	9	3
Kansas	Singapore	5	7
Puerto_Rico	Connecticut	9	1
Puerto_Rico	Puerto_Rico	3	2
Montana	North_Dakota	0	6
Delaware	Montana	2	0
Idaho	Singapore	6	7
West_Virginia	Montana	3	7
Connecticut	North_Dakota	1	0
Vermont	Oklahoma	2	0
Vermont	Oklahoma	5	7
Delaware	Oklahoma	5	6
District_of_Columbia	North_Dakota	5	9
Business	North_Dakota	3	6
Colorado	Puerto_Rico	7	1
Connecticut	Kansas	8	7
Puerto_Rico	Business	4	9
Puerto_Rico	Oklahoma	9	5
Kansas	Delaware	7	1
Oklahoma	Puerto_Rico	7	9
Kentucky	Vermont	1	5
Connecticut	Singapore	0	0
Kansas	Kansas	0	7
Colorado	South_Dakota	0	2
Idaho	Indiana	7	9
Puerto_Rico	Singapore	2	5
New_Hampshire	Kansas	5	9
Kentucky	Idaho	8	2
West_Virginia	New_Hampshire	6	8
Idaho	Puerto_Rico	3	6
District_of_Columbia	Delaware	2	7
Arkansas	Kentucky	5	1
Indiana	New_Hampshire	2	9
Colorado	Idaho	0	7
New_Hampshire	Kentucky	7	3
Arkansas	Idaho	1	5
Puerto_Rico	Singapore	4	4
District_of_Columbia	Connecticut	0	0
Oklahoma	Oklahoma	1	9
Kansas	Kentucky	9	3
Kentucky	Kentucky	4	7
Puerto_Rico	Business	4	7
Montana	Nevada	3	7
District_of_Columbia	West_Virginia	0	2
South_Dakota	Vermont	1	9
New_Hampshire	Indiana	2	2
New_Hampshire	Kansas	2	4
New_Hampshire	Idaho	0	7
Montana	Indiana	1	1
Connecticut	New_Hampshire	3	8
Montana	Kentucky	0	1
Business	Arkansas	0	2
West_Virginia	Nevada	3	1
South_Dakota	Vermont	0	8
Montana	District_of_Columbia	0	8
Delaware	Kentucky	3	0
Idaho	Montana	8	7
Puerto_Rico	Idaho	3	0
Oklahoma	Business	8	9
Connecticut	Delaware	5	6
North_Dakota	Indiana	9	8
Vermont	Singapore	7	8
Singapore	Puerto_Rico	1	3
Singapore	Arkansas	1	3
Idaho	North_Dakota	6	9
Idaho	Connecticut	9	5
Indiana	Kentucky	1	1
Kentucky	New_Hampshire	1	5
Connecticut	Business	8	7
Montana	Oklahoma	3	8
Oklahoma	Colorado	4	4
West_Virginia	North_Dakota	4	0
Montana	Delaware	1	4
Vermont	Montana	8	5
Colorado	Puerto_Rico	1	4
Montana	West_Virginia	3	2
Oklahoma	Nevada	5	6
Delaware	District_of_Columbia	0	5
West_Virginia	Kansas	6	8
Oklahoma	Kentucky	2	6
North_Dakota	North_Dakota	9	5
Vermont	Connecticut	6	1
Oklahoma	Kansas	8	7
Nevada	North_Dakota	9	4
Business	Vermont	3	9
North_Dakota	Delaware	2	4
New_Hampshire	Kentucky	0	6
Colorado	West_Virginia	7	7
Arkansas	Colorado	1	5
Indiana	Idaho	8	7
West_Virginia	New_Hampshire	9	5
South_Dakota	South_Dakota	2	1
Arkansas	Nevada	2	2
West_Virginia	Singapore	4	6
District_of_Columbia	District_of_Columbia	2	0
Montana	Vermont	6	1
Colorado	New_Hampshire	7	3
Colorado	Colorado	1	3
Kansas	Arkansas	1	2
New_Hampshire	Nevada	3	6
North_Dakota	New_Hampshire	2	2
Delaware	Indiana	8	1
Montana	Oklahoma	9	3
Colorado	Connecticut	6	2
Colorado	Connecticut	1	4
Puerto_Rico	Oklahoma	3	8
Oklahoma	Singapore	9	5
Puerto_Rico	Nevada	5	7
Nevada	Nevada	8	4
New_Hampshire	Business	2	4
Connecticut	South_Dakota	4	2
Puerto_Rico	Kentucky	9	1
District_of_Columbia	South_Dakota	4	6
Kansas	Vermont	9	1
North_Dakota	West_Virginia	5	5
Puerto_Rico	North_Dakota	3	2
Kansas	New_Hampshire	8	1
Colorado	Kentucky	4	8
New_Hampshire	Vermont	9	7
Vermont	South_Dakota	2	6
District_of_Columbia	Idaho	6	0
